uniqueVisitId,hitId,pagePath,ecommerce_action_type,transactionid
5186081045797872289:1482097641,5186081045797872289:1482097641:21,/google+redesign/bags/shopping+and+totes/quickview,2,
5186081045797872289:1482097641,5186081045797872289:1482097641:30,/google+redesign/bags/shopping+and+totes,1,
5186081045797872289:1482097641,5186081045797872289:1482097641:56,/yourinfo.html,5,
5186081045797872289:1482097641,5186081045797872289:1482097641:61,/ordercompleted.html,6,ORD201612182088
1034770188837469990:1482091170,1034770188837469990:1482091170:22,/google+redesign/apparel/women+s/women+s+outerwear,1,
1034770188837469990:1482091170,1034770188837469990:1482091170:27,/google+redesign/apparel/womens+performance+wear,3,
1034770188837469990:1482091170,1034770188837469990:1482091170:33,/google+redesign/apparel/womens+performance+wear,1,
1034770188837469990:1482091170,1034770188837469990:1482091170:40,/google+redesign/apparel/women+s/women+s+outerwear,1,
1034770188837469990:1482091170,1034770188837469990:1482091170:83,/yourinfo.html,5,
1034770188837469990:1482091170,1034770188837469990:1482091170:85,/revieworder.html,5,
264424129376181726:1478454039,264424129376181726:1478454039:4,/google+redesign/accessories/fun,3,
8232163316266100622:1478505025,8232163316266100622:1478505025:7,/yourinfo.html,5,
8232163316266100622:1478505025,8232163316266100622:1478505025:8,/yourinfo.html,5,
1057078399235259309:1478473887,1057078399235259309:1478473887:10,/payment.html,5,
3751874882299894911:1478489715,3751874882299894911:1478489715:7,/google+redesign/apparel/kid+s/kid+s+toddler,1,
3751874882299894911:1478489715,3751874882299894911:1478489715:8,/google+redesign/apparel/kid+s/kid+s+toddler/quickview,2,
4202414754044030612:1478469506,4202414754044030612:1478469506:18,/google+redesign/bags/quickview,2,
3180932519429039944:1482638797,3180932519429039944:1482638797:4,/google+redesign/shop+by+brand/android,1,
3180932519429039944:1482638797,3180932519429039944:1482638797:5,/google+redesign/shop+by+brand/android/quickview,2,
2061193526205671721:1482604642,2061193526205671721:1482604642:6,/google+redesign/bags/water+bottles+and+tumblers,3,
2061193526205671721:1482604642,2061193526205671721:1482604642:13,/ordercompleted.html,6,ORD20161224992
5888035730986809120:1482593745,5888035730986809120:1482593745:11,/google+redesign/bags/backpacks,1,
322228537289095245:1482626483,322228537289095245:1482626483:11,/store.html/quickview,2,
322228537289095245:1482626483,322228537289095245:1482626483:12,/store.html,3,
6636993928686821704:1482620416,6636993928686821704:1482620416:6,/google+redesign/apparel/men++s/men++s+outerwear,1,
6636993928686821704:1482620416,6636993928686821704:1482620416:21,/google+redesign/apparel/men++s/men++s+outerwear,1,
1057078399235259309:1478463186,1057078399235259309:1478463186:5,/google+redesign/apparel/men++s/men++s+outerwear,1,
1057078399235259309:1478463186,1057078399235259309:1478463186:12,/google+redesign/apparel/men++s/men++s+outerwear,1,
1057078399235259309:1478463186,1057078399235259309:1478463186:16,/google+redesign/apparel/men++s/men++s+outerwear,1,
1057078399235259309:1478463186,1057078399235259309:1478463186:29,/google+redesign/apparel/google+men+s+google+softshell+jacket+bg.axd,3,
1057078399235259309:1478463186,1057078399235259309:1478463186:46,/google+redesign/apparel/headgear/quickview,2,
1057078399235259309:1478463186,1057078399235259309:1478463186:61,/google+redesign/apparel/headgear/google+twill+cap+b.axd,3,
1057078399235259309:1478463186,1057078399235259309:1478463186:89,/google+redesign/apparel/men++s/men++s+t+shirts,1,
1057078399235259309:1478463186,1057078399235259309:1478463186:102,/basket.html,4,
0031860188526967695:1478496806,0031860188526967695:1478496806:3,/google+redesign/accessories/stickers,1,
0067699650606047686:1478447898,0067699650606047686:1478447898:2,/google+redesign/shop+by+brand/youtube,1,
9216868948341003372:1478447389,9216868948341003372:1478447389:5,/google+redesign/apparel/quickview,2,
8273550906692513900:1478453458,8273550906692513900:1478453458:5,/google+redesign/apparel/men++s/men++s+t+shirts/quickview,2,
4772124371602785542:1478472127,4772124371602785542:1478472127:3,/google+redesign/accessories,1,
4191671694821893847:1478477709,4191671694821893847:1478477709:6,/google+redesign/apparel/quickview,2,
4202414754044030612:1478481187,4202414754044030612:1478481187:3,/google+redesign/apparel,1,
4202414754044030612:1478481187,4202414754044030612:1478481187:4,/google+redesign/apparel,1,
1428525744755296521:1472370916,1428525744755296521:1472370916:5,/google+redesign/apparel/men++s/men++s+t+shirts/quickview,2,
4903748382175891749:1472409159,4903748382175891749:1472409159:5,/google+redesign/apparel/women+s,3,
735302723715756754:1472418423,735302723715756754:1472418423:4,/google+redesign/apparel/men++s/men++s+t+shirts,1,
6049272634188630652:1482087145,6049272634188630652:1482087145:9,/google+redesign/apparel/quickview,2,
2214927399967450243:1482126380,2214927399967450243:1482126380:13,/google+redesign/shop+by+brand/android,1,
9102588366526643039:1482126667,9102588366526643039:1482126667:3,/google+redesign/office/notebooks++journals,1,
9102588366526643039:1482126667,9102588366526643039:1482126667:5,/google+redesign/office/notebooks++journals,1,
2808734472707095716:1482122870,2808734472707095716:1482122870:5,/google+redesign/apparel/men++s/men++s+outerwear/quickview,2,
2808734472707095716:1482122870,2808734472707095716:1482122870:10,/google+redesign/accessories/stickers,1,
9493021416478611124:1482070437,9493021416478611124:1482070437:23,/yourinfo.html,5,
9493021416478611124:1482070437,9493021416478611124:1482070437:25,/payment.html,5,
3266555914884210654:1482056815,3266555914884210654:1482056815:7,/google+redesign/office/writing+instruments/quickview,2,
3266555914884210654:1482056815,3266555914884210654:1482056815:17,/google+redesign/electronics/flashlights,1,
4631387008230942901:1482123086,4631387008230942901:1482123086:4,/google+redesign/office/notebooks++journals,1,
2808734472707095716:1482127785,2808734472707095716:1482127785:9,/google+redesign/apparel/men+s+google+quilted+insulated+vest+black.axd,3,
2808734472707095716:1482127785,2808734472707095716:1482127785:13,/google+redesign/apparel/men++s/men++s+outerwear/quickview,2,
2808734472707095716:1482127785,2808734472707095716:1482127785:38,/google+redesign/apparel/men++s/men++s+t+shirts,3,
192847875246565811:1482109221,192847875246565811:1482109221:6,/google+redesign/bags/backpacks,1,
192847875246565811:1482109221,192847875246565811:1482109221:9,/google+redesign/bags/backpacks,1,
5186081045797872289:1482097641,5186081045797872289:1482097641:3,/google+redesign/drinkware/mugs+and+cups/quickview,2,
5186081045797872289:1482097641,5186081045797872289:1482097641:9,/google+redesign/drinkware/mugs+and+cups,1,
5186081045797872289:1482097641,5186081045797872289:1482097641:31,/google+redesign/bags/shopping+and+totes,1,
5186081045797872289:1482097641,5186081045797872289:1482097641:40,/google+redesign/bags/shopping+and+totes,1,
5186081045797872289:1482097641,5186081045797872289:1482097641:47,/google+redesign/drinkware/mugs+and+cups/quickview,2,
5186081045797872289:1482097641,5186081045797872289:1482097641:48,/google+redesign/drinkware/mugs+and+cups,1,
5186081045797872289:1482097641,5186081045797872289:1482097641:62,/ordercompleted.html,6,ORD201612182088
1034770188837469990:1482091170,1034770188837469990:1482091170:23,/google+redesign/apparel/women+s/women+s+outerwear/quickview,2,
1034770188837469990:1482091170,1034770188837469990:1482091170:42,/google+redesign/apparel/women+s/women+s+outerwear,1,
1034770188837469990:1482091170,1034770188837469990:1482091170:79,/yourinfo.html,5,
9935363478089463685:1478445572,9935363478089463685:1478445572:4,/google+redesign/bags/more+bags/quickview,2,
1057078399235259309:1478473887,1057078399235259309:1478473887:11,/payment.html,5,
4202414754044030612:1478469506,4202414754044030612:1478469506:17,/google+redesign/bags,1,
1057078399235259309:1478463186,1057078399235259309:1478463186:10,/google+redesign/apparel/men++s/men++s+outerwear,1,
1057078399235259309:1478463186,1057078399235259309:1478463186:47,/google+redesign/apparel/headgear,1,
1057078399235259309:1478463186,1057078399235259309:1478463186:94,/google+redesign/apparel/men+s+t+shirts/google+mens+short+sleeve+hero+tee+red.axd,3,
9216868948341003372:1478447389,9216868948341003372:1478447389:3,/google+redesign/apparel/quickview,2,
8273550906692513900:1478453458,8273550906692513900:1478453458:3,/google+redesign/apparel/men++s/men++s+t+shirts/quickview,2,
8273550906692513900:1478453458,8273550906692513900:1478453458:6,/google+redesign/apparel/men++s/men++s+t+shirts,1,
6218253325855892286:1478430996,6218253325855892286:1478430996:6,/google+redesign/shop+by+brand/youtube,1,
4191671694821893847:1478477709,4191671694821893847:1478477709:5,/google+redesign/apparel,1,
4491449099043842200:1478445840,4491449099043842200:1478445840:9,/yourinfo.html,5,
1428525744755296521:1472370916,1428525744755296521:1472370916:3,/google+redesign/apparel/men++s/men++s+t+shirts/quickview,2,
4903748382175891749:1472409159,4903748382175891749:1472409159:4,/google+redesign/apparel/women+s,1,
735302723715756754:1472418423,735302723715756754:1472418423:5,/google+redesign/apparel/men++s/men++s+t+shirts,1,
346808312153019517:1472440539,346808312153019517:1472440539:11,/google+redesign/electronics/quickview,2,
4694443488552439139:1472418258,4694443488552439139:1472418258:6,/google+redesign/office/quickview,2,
4694443488552439139:1472418258,4694443488552439139:1472418258:7,/google+redesign/office,3,
4694443488552439139:1472418258,4694443488552439139:1472418258:12,/ordercompleted.html,6,ORD20160828782
9057512341842617112:1472422553,9057512341842617112:1472422553:9,/google+redesign/shop+by+brand/youtube/quickview,2,
3086376946042456029:1472439279,3086376946042456029:1472439279:12,/google+redesign/shop+by+brand/youtube,1,
2216195793184515156:1472403569,2216195793184515156:1472403569:15,/google+redesign/office,3,
4329062733427757829:1472374159,4329062733427757829:1472374159:6,/google+redesign/apparel/quickview,2,
4329062733427757829:1472374159,4329062733427757829:1472374159:17,/asearch.html/quickview,2,
4329062733427757829:1472374159,4329062733427757829:1472374159:19,/asearch.html/quickview,2,
4329062733427757829:1472374159,4329062733427757829:1472374159:21,/asearch.html/quickview,2,
3457192837564194287:1472435249,3457192837564194287:1472435249:15,/google+redesign/apparel/quickview,2,
884423587474972780:1472402249,884423587474972780:1472402249:5,/google+redesign/apparel/men++s/men++s+t+shirts,1,
884423587474972780:1472402249,884423587474972780:1472402249:45,/google+redesign/electronics/quickview,2,
884423587474972780:1472402249,884423587474972780:1472402249:46,/google+redesign/electronics,1,
884423587474972780:1472402249,884423587474972780:1472402249:52,/google+redesign/lifestyle/quickview,2,
884423587474972780:1472402249,884423587474972780:1472402249:63,/google+redesign/lifestyle/quickview,2,
884423587474972780:1472402249,884423587474972780:1472402249:73,/google+redesign/office,1,
9894955795481014038:1472394195,9894955795481014038:1472394195:21,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:28,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:33,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:38,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:57,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:61,/yourinfo.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:69,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:70,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:83,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:86,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:99,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:100,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:104,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:106,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:111,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:116,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:125,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:134,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:148,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:160,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:199,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:216,/yourinfo.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:234,/yourinfo.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:241,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:278,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:283,/yourinfo.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:285,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:308,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:322,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:325,/yourinfo.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:327,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:339,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:365,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:379,/yourinfo.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:384,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:386,/yourinfo.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:397,/yourinfo.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:399,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:410,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:418,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:424,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:435,/payment.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:10,/google+redesign/apparel/men++s,3,
9894955795481014038:1472418093,9894955795481014038:1472418093:21,/google+redesign/apparel,1,
9894955795481014038:1472418093,9894955795481014038:1472418093:22,/google+redesign/apparel/quickview,2,
9894955795481014038:1472418093,9894955795481014038:1472418093:29,/revieworder.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:32,/yourinfo.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:36,/revieworder.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:40,/payment.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:41,/revieworder.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:45,/yourinfo.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:47,/payment.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:48,/revieworder.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:52,/payment.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:56,/payment.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:57,/payment.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:71,/revieworder.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:77,/revieworder.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:90,/yourinfo.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:104,/payment.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:112,/revieworder.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:114,/payment.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:119,/revieworder.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:130,/payment.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:133,/revieworder.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:136,/payment.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:137,/payment.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:144,/revieworder.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:153,/revieworder.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:159,/revieworder.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:160,/revieworder.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:169,/payment.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:171,/revieworder.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:183,/revieworder.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:200,/revieworder.html,5,
055147035844955807:1482646465,055147035844955807:1482646465:11,/yourinfo.html,5,
5888035730986809120:1482593745,5888035730986809120:1482593745:10,/google+redesign/bags/backpacks/quickview,2,
322228537289095245:1482626483,322228537289095245:1482626483:21,/revieworder.html,5,
322228537289095245:1482626483,322228537289095245:1482626483:22,/ordercompleted.html,6,ORD201612241077
322228537289095245:1482626483,322228537289095245:1482626483:23,/ordercompleted.html,6,ORD201612241077
6636993928686821704:1482620416,6636993928686821704:1482620416:17,/google+redesign/apparel/men++s/men++s+outerwear,1,
6636993928686821704:1482620416,6636993928686821704:1482620416:19,/google+redesign/apparel/men++s/men++s+outerwear,1,
6636993928686821704:1482620416,6636993928686821704:1482620416:26,/google+redesign/drinkware,1,
6636993928686821704:1482620416,6636993928686821704:1482620416:28,/google+redesign/drinkware,1,
2233617805830581346:1482056230,2233617805830581346:1482056230:2,/google+redesign/shop+by+brand/youtube/quickview,2,
2233617805830581346:1482056230,2233617805830581346:1482056230:3,/google+redesign/shop+by+brand/youtube,1,
0982814697617389119:1482111629,0982814697617389119:1482111629:4,/asearch.html/quickview,2,
4224399915813579424:1482126688,4224399915813579424:1482126688:2,/google+redesign/office/writing/maze+pen.axd,3,
346808312153019517:1472440539,346808312153019517:1472440539:10,/google+redesign/electronics,1,
4694443488552439139:1472418258,4694443488552439139:1472418258:9,/yourinfo.html,5,
4694443488552439139:1472418258,4694443488552439139:1472418258:10,/payment.html,5,
2216195793184515156:1472403569,2216195793184515156:1472403569:9,/google+redesign/office,1,
2216195793184515156:1472403569,2216195793184515156:1472403569:11,/google+redesign/office,1,
2216195793184515156:1472403569,2216195793184515156:1472403569:13,/google+redesign/office,1,
4329062733427757829:1472374159,4329062733427757829:1472374159:16,/asearch.html,1,
884423587474972780:1472402249,884423587474972780:1472402249:3,/google+redesign/apparel/men++s/men++s+t+shirts/quickview,2,
884423587474972780:1472402249,884423587474972780:1472402249:18,/google+redesign/apparel/men++s/men++s+t+shirts,1,
884423587474972780:1472402249,884423587474972780:1472402249:19,/google+redesign/apparel/men++s/men++s+t+shirts/quickview,2,
884423587474972780:1472402249,884423587474972780:1472402249:23,/google+redesign/apparel/kid+s/kid+s+infant,1,
884423587474972780:1472402249,884423587474972780:1472402249:27,/google+redesign/drinkware/quickview,2,
884423587474972780:1472402249,884423587474972780:1472402249:29,/google+redesign/drinkware,1,
884423587474972780:1472402249,884423587474972780:1472402249:34,/google+redesign/drinkware,1,
884423587474972780:1472402249,884423587474972780:1472402249:39,/google+redesign/drinkware,1,
884423587474972780:1472402249,884423587474972780:1472402249:70,/google+redesign/office,1,
9894955795481014038:1472394195,9894955795481014038:1472394195:14,/google+redesign/apparel/kid+s/kid+s+toddler,1,
9894955795481014038:1472394195,9894955795481014038:1472394195:16,/google+redesign/apparel/kid+s/kid+s+toddler,3,
9894955795481014038:1472394195,9894955795481014038:1472394195:22,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:23,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:39,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:75,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:79,/yourinfo.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:82,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:115,/yourinfo.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:117,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:147,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:152,/yourinfo.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:153,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:154,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:206,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:207,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:211,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:213,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:229,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:240,/yourinfo.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:255,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:256,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:266,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:269,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:279,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:281,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:291,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:293,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:297,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:301,/yourinfo.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:311,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:313,/yourinfo.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:329,/revieworder.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:338,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:343,/yourinfo.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:345,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:369,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:382,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:398,/payment.html,5,
9894955795481014038:1472394195,9894955795481014038:1472394195:421,/yourinfo.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:7,/google+redesign/apparel/men++s/quickview,2,
9894955795481014038:1472418093,9894955795481014038:1472418093:15,/google+redesign/apparel,1,
9894955795481014038:1472418093,9894955795481014038:1472418093:33,/payment.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:34,/payment.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:42,/revieworder.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:46,/payment.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:63,/payment.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:69,/payment.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:96,/yourinfo.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:98,/payment.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:100,/revieworder.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:108,/yourinfo.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:123,/yourinfo.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:156,/yourinfo.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:162,/yourinfo.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:176,/revieworder.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:190,/yourinfo.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:203,/payment.html,5,
9894955795481014038:1472418093,9894955795481014038:1472418093:205,/revieworder.html,5,
2214927399967450243:1482126380,2214927399967450243:1482126380:8,/google+redesign/shop+by+brand/android,1,
0456585804826434876:1482097342,0456585804826434876:1482097342:6,/google+redesign/shop+by+brand/youtube/quickview,2,
0456585804826434876:1482097342,0456585804826434876:1482097342:14,/ordercompleted.html,6,ORD201612181826
9102588366526643039:1482126667,9102588366526643039:1482126667:4,/google+redesign/office/notebooks++journals/quickview,2,
2808734472707095716:1482122870,2808734472707095716:1482122870:18,/google+redesign/apparel/men++s/men++s+t+shirts,1,
2808734472707095716:1482122870,2808734472707095716:1482122870:19,/google+redesign/apparel/men++s/men++s+t+shirts/quickview,2,
8632811130027160361:1482113395,8632811130027160361:1482113395:21,/google+redesign/electronics/flashlights,1,
9493021416478611124:1482070437,9493021416478611124:1482070437:24,/yourinfo.html,5,
3266555914884210654:1482056815,3266555914884210654:1482056815:26,/payment.html,5,
3266555914884210654:1482056815,3266555914884210654:1482056815:30,/ordercompleted.html,6,ORD201612182009
4631387008230942901:1482123086,4631387008230942901:1482123086:15,/google+redesign/apparel/men++s/men++s+t+shirts,3,
4631387008230942901:1482123086,4631387008230942901:1482123086:25,/yourinfo.html,5,
4631387008230942901:1482123086,4631387008230942901:1482123086:27,/yourinfo.html,5,
4631387008230942901:1482123086,4631387008230942901:1482123086:28,/payment.html,5,
4835082938415020542:1482100042,4835082938415020542:1482100042:3,/google+redesign/bags/quickview,2,
4835082938415020542:1482100042,4835082938415020542:1482100042:27,/google+redesign/electronics,1,
4835082938415020542:1482100042,4835082938415020542:1482100042:30,/google+redesign/electronics/quickview,2,
2808734472707095716:1482127785,2808734472707095716:1482127785:23,/google+redesign/accessories/sports++fitness,1,
192847875246565811:1482109221,192847875246565811:1482109221:14,/google+redesign/bags/backpacks/quickview,2,
192847875246565811:1482109221,192847875246565811:1482109221:21,/google+redesign/bags/backpacks,1,
